,Instruction,Output
694,Vertical resistance နှင့် Horizontal resistance တို့၏ ကွာခြားချက်ကို ရှင်းပြပါ။,ဒေါင်လိုက်ခုခံအားသည် သီးခြားရောဂါပိုးတစ်မျိုးကိုသာ ခုခံနိုင်ပြီး အလျားလိုက်ခုခံအားမှာ ရောဂါပိုးအမျိုးမျိုးကို အနည်းငယ်စီ ခုခံနိုင်စွမ်းရှိသည်။ ဒေါင်လိုက်ခုခံအားသည် ပိုအားကောင်းသော်လည်း ရောဂါပိုးက ကျော်လွှားနိုင်ချေရှိပြီး အလျားလိုက်ခုခံအားမှာ ပိုခိုင်မြဲသည်။
695,ပန်းပင်ကြီးထွားမှုအဆင့်များကို မြန်မာဘာသာဖြင့် ဖော်ပြပါ။ အင်္ဂလိပ်စကားလုံးများကိုလည်း ထည့်သွင်းပါ။,၁။ အစေ့အဆင့် (Seed stage) - မျိုးစေ့များ စတင်အသက်ဝင်လာသည်။ ၂။ အညှောင့်ထွက်အဆင့် (Germination stage) - အမြစ်နှင့် အညွန့်ငယ်များ စတင်ပေါ်ထွက်လာသည်။ ၃။ ပျိုးပင်အဆင့် (Seedling stage) - ပထမဆုံး အရွက်များ ထွက်လာပြီး အပင်ငယ် ဖြစ်လာသည်။ ၄။ အရွက်ထွက်အဆင့် (Leaf development stage) - အရွက်အသစ်များ ဆက်တိုက် ထွက်လာသည်။ ၅။ ပင်စည်ကြီးထွားအဆင့် (Stem elongation stage) - ပင်စည် အမြင့်တက်လာပြီး ခိုင်မာလာသည်။ ၆။ ပန်းပွင့်အဆင့် (Flowering stage) - ပန်းပွင့်များ စတင်ဖူးပွင့်လာသည်။ ၇။ အသီးသီးအဆင့် (Fruit development stage) - ပန်းပွင့်များမှ အသီးများ ဖြစ်ထွန်းလာသည်။ ၈။ အသီးမှည့်အဆင့် (Ripening stage) - အသီးများ ရင့်မှည့်လာပြီး စားသုံးရန် အဆင်သင့်ဖြစ်လာသည်။ ၉။ မျိုးပွားအဆင့် (Reproduction stage) - အသီးများမှ မျိုးစေ့အသစ်များ ထွက်လာပြီး နောက်မျိုးဆက်သစ်အတွက် အဆင်သင့်ဖြစ်လာသည်။
696,ရွက်ဖြန်းအားဆေးဆိုတာ ဘာလဲ။,ရွက်ဖြန်းအားဆေးသည် အပင်များ၏ အရွက်များပေါ်တွင် ဖြန်းပက်ရသော အာဟာရဓာတ်ပါဝင်သည့် အရည်ဖြစ်သည်။ ၎င်းကို foliar fertilizer ဟု အင်္ဂလိပ်လိုခေါ်သည်။
697,ရွက်ဖြန်းအားဆေးကို ဘယ်လိုအသုံးပြုရသလဲ။,ရွက်ဖြန်းအားဆေးကို ရေနှင့်ရောစပ်ပြီး အပင်၏အရွက်များပေါ်တွင် spray လုပ်၍ ဖြန်းပက်ရသည်။
698,ရွက်ဖြန်းအားဆေး၏ အကျိုးကျေးဇူးများကို ဖော်ပြပါ။,ရွက်ဖြန်းအားဆေးသည် အပင်များ၏ ကြီးထွားမှုကို မြန်ဆန်စေပြီး၊ ပိုးမွှားဒဏ်ခံနိုင်ရည်ရှိစေကာ အထွက်နှုန်းကို တိုးမြှင့်စေသည်။ ၎င်းသည် အာဟာရချို့တဲ့ခြင်းကိုလည်း ကုစားပေးသည်။
699,ရွက်ဖြန်းအားဆေးတွင် ပါဝင်သော အဓိကဓာတ်များကို ဖော်ပြပါ။,ရွက်ဖြန်းအားဆေးတွင် နိုက်ထရိုဂျင် (nitrogen)၊ ဖော့စဖရပ်စ် (phosphorus)၊ ပိုတက်စီယမ် (potassium) နှင့် အခြားသော micronutrients များ ပါဝင်သည်။
700,ရွက်ဖြန်းအားဆေးကို မည်သည့်အချိန်တွင် အသုံးပြုသင့်သနည်း။,ရွက်ဖြန်းအားဆေးကို အပင်၏ ကြီးထွားမှုကာလ (vegetative stage) နှင့် အသီးသီးချိန် (fruiting stage) တွင် အသုံးပြုသင့်သည်။ မနက်စောစော သို့မဟုတ် ညနေပိုင်းတွင် ဖြန်းပက်သင့်သည်။
701,ရွက်ဖြန်းအားဆေးကို မည်သည့်သီးနှံများတွင် အသုံးပြုနိုင်သနည်း။,ရွက်ဖြန်းအားဆေးကို စပါး၊ ပဲမျိုးစုံ၊ ဟင်းသီးဟင်းရွက်များ၊ သစ်သီးဝလံများ နှင့် အခြားသော ငွေရသီးနှံများတွင် အသုံးပြုနိုင်သည်။
702,ရွက်ဖြန်းအားဆေးကို အလွန်အကျွံသုံးစွဲခြင်း၏ ဆိုးကျိုးများကို ဖော်ပြပါ။,ရွက်ဖြန်းအားဆေးကို အလွန်အကျွံသုံးစွဲခြင်းသည် အပင်များကို ထိခိုက်စေနိုင်ပြီး၊ အရွက်များ လောင်ကျွမ်းခြင်း (leaf burn) ဖြစ်စေနိုင်သည်။ ထို့အပြင် ပတ်ဝန်းကျင်ညစ်ညမ်းမှု (environmental pollution) ကိုလည်း ဖြစ်စေနိုင်သည်။
703,ရွက်ဖြန်းအားဆေးနှင့် မြေသြဇာတို့၏ ကွာခြားချက်ကို ရှင်းပြပါ။,ရွက်ဖြန်းအားဆေးကို အရွက်များပေါ်တွင် ဖြန်းပက်ရပြီး၊ မြေသြဇာကို မြေကြီးထဲသို့ ထည့်သွင်းရသည်။ ရွက်ဖြန်းအားဆေးသည် ပိုမိုမြန်ဆန်စွာ အကျိုးသက်ရောက်မှုရှိပြီး၊ မြေသြဇာသည် ရေရှည်အကျိုးသက်ရောက်မှုရှိသည်။
704,ရွက်ဖြန်းအားဆေးကို အသုံးပြုရာတွင် လိုက်နာရမည့် ဘေးကင်းရေးအချက်များကို ဖော်ပြပါ။,ရွက်ဖြန်းအားဆေးကို အသုံးပြုရာတွင် လက်အိတ်၊ မျက်နှာဖုံး နှင့် ရေစိုခံအင်္ကျီများ ဝတ်ဆင်သင့်သည်။ လေတိုက်ခတ်နေသောအချိန်တွင် မဖြန်းသင့်ပါ။ အသုံးပြုပြီးပါက လက်ကို သေချာစွာဆေးကြောသင့်သည်။ Safety precautions များကို လိုက်နာရန် အရေးကြီးသည်။
705,ရွက်ဖြန်းအားဆေးများကို မည်သို့ အသုံးပြုသင့်သနည်း။,ရွက်ဖြန်းအားဆေးများကို အပင်၏အရွက်များပေါ်တွင် ညီညာစွာ ဖြန်းပက်သင့်ပါသည်။ မနက်စောစော သို့မဟုတ် ညနေပိုင်းတွင် ဖြန်းပက်ခြင်းသည် အကောင်းဆုံးဖြစ်ပါသည်။ ထုတ်လုပ်သူ၏ ညွှန်ကြားချက်များကို လိုက်နာရန် အရေးကြီးပါသည်။
